figure_path,figure_family,generating_script,primary_series,original_axis_rule,old_primary_min,old_primary_max,old_primary_span,old_axis_min,old_axis_max,old_axis_span,old_utilization_ratio
analysis/moving_averages/figures/all_genres/emotion_admiration_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.002975416837,0.1234559309,0.120480514063,0,1,1,0.120480514063
analysis/moving_averages/figures/all_genres/emotion_amusement.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.001840647281,0.07933025674,0.077489609459,0,0.09,0.09,0.860995660656
analysis/moving_averages/figures/all_genres/emotion_amusement_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.001840647281,0.07933025674,0.077489609459,0,1,1,0.077489609459
analysis/moving_averages/figures/all_genres/emotion_amusement_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.001840647281,0.07933025674,0.077489609459,0,0.09,0.09,0.860995660656
analysis/moving_averages/figures/all_genres/emotion_amusement_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.001840647281,0.07933025674,0.077489609459,0,1,1,0.077489609459
analysis/moving_averages/figures/all_genres/emotion_anger.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.002636010388,0.1310931342,0.128457123812,0,0.15,0.15,0.856380825413
analysis/moving_averages/figures/all_genres/emotion_anger_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.002636010388,0.1310931342,0.128457123812,0,1,1,0.128457123812
analysis/moving_averages/figures/all_genres/emotion_anger_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.004057814927,0.1310931342,0.127035319273,0,0.15,0.15,0.846902128487
analysis/moving_averages/figures/all_genres/emotion_anger_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.004057814927,0.1310931342,0.127035319273,0,1,1,0.127035319273
analysis/moving_averages/figures/all_genres/emotion_annoyance.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.01045421172,0.1884792784,0.17802506668,0,0.21,0.21,0.847738412762
analysis/moving_averages/figures/all_genres/emotion_annoyance_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.01045421172,0.1884792784,0.17802506668,0,1,1,0.17802506668
analysis/moving_averages/figures/all_genres/emotion_annoyance_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.01292899733,0.1884792784,0.17555028107,0,0.21,0.21,0.835953719381
analysis/moving_averages/figures/all_genres/emotion_annoyance_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.01292899733,0.1884792784,0.17555028107,0,1,1,0.17555028107
analysis/moving_averages/figures/all_genres/emotion_approval.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.02082245393,0.1060428703,0.08522041637,0.01,0.12,0.11,0.774731057909
analysis/moving_averages/figures/all_genres/emotion_approval_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.02082245393,0.1060428703,0.08522041637,0,1,1,0.08522041637
analysis/moving_averages/figures/all_genres/emotion_approval_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.02082245393,0.09977297496,0.07895052103,0.01,0.11,0.1,0.7895052103
analysis/moving_averages/figures/all_genres/emotion_approval_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.02082245393,0.09977297496,0.07895052103,0,1,1,0.07895052103
analysis/moving_averages/figures/all_genres/emotion_caring.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.002381586522,0.1235643337,0.121182747178,0,0.15,0.15,0.807884981187
analysis/moving_averages/figures/all_genres/emotion_caring_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.002381586522,0.1235643337,0.121182747178,0,1,1,0.121182747178
analysis/moving_averages/figures/all_genres/emotion_caring_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.003268384221,0.1235643337,0.120295949479,0,0.14,0.14,0.859256781993
analysis/moving_averages/figures/all_genres/emotion_caring_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.003268384221,0.1235643337,0.120295949479,0,1,1,0.120295949479
analysis/moving_averages/figures/all_genres/emotion_confusion.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.005448516388,0.1466313411,0.141182824712,0,0.17,0.17,0.830487204188
analysis/moving_averages/figures/all_genres/emotion_confusion_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.005448516388,0.1466313411,0.141182824712,0,1,1,0.141182824712
analysis/moving_averages/figures/all_genres/emotion_confusion_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.005448516388,0.064161517,0.058713000612,0,0.07,0.07,0.8387571516
analysis/moving_averages/figures/all_genres/emotion_confusion_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.005448516388,0.064161517,0.058713000612,0,1,1,0.058713000612
analysis/moving_averages/figures/all_genres/emotion_curiosity.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.008632696245,0.1035171823,0.094884486055,0,0.12,0.12,0.790704050458
analysis/moving_averages/figures/all_genres/emotion_curiosity_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.008632696245,0.1035171823,0.094884486055,0,1,1,0.094884486055
analysis/moving_averages/figures/all_genres/emotion_curiosity_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.008632696245,0.09741841499,0.088785718745,0,0.11,0.11,0.807142897682
analysis/moving_averages/figures/all_genres/emotion_curiosity_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.008632696245,0.09741841499,0.088785718745,0,1,1,0.088785718745
analysis/moving_averages/figures/all_genres/emotion_desire.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.00522874026,0.1392262282,0.13399748794,0,0.16,0.16,0.837484299625
analysis/moving_averages/figures/all_genres/emotion_desire_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.00522874026,0.1392262282,0.13399748794,0,1,1,0.13399748794
analysis/moving_averages/figures/all_genres/emotion_desire_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.00522874026,0.1392262282,0.13399748794,0,0.16,0.16,0.837484299625
analysis/moving_averages/figures/all_genres/emotion_desire_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.00522874026,0.1392262282,0.13399748794,0,1,1,0.13399748794
analysis/moving_averages/figures/all_genres/emotion_disappointment.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.003833126062,0.1494462166,0.145613090538,0,0.17,0.17,0.8565475914
analysis/moving_averages/figures/all_genres/emotion_disappointment_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.003833126062,0.1494462166,0.145613090538,0,1,1,0.145613090538
analysis/moving_averages/figures/all_genres/emotion_disappointment_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.01084577461,0.1494462166,0.13860044199,0,0.17,0.17,0.815296717588
analysis/moving_averages/figures/all_genres/emotion_disappointment_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.01084577461,0.1494462166,0.13860044199,0,1,1,0.13860044199
analysis/moving_averages/figures/all_genres/emotion_disapproval.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.005612857048,0.08203063718,0.076417780132,0,0.09,0.09,0.849086445911
analysis/moving_averages/figures/all_genres/emotion_disapproval_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.005612857048,0.08203063718,0.076417780132,0,1,1,0.076417780132
analysis/moving_averages/figures/all_genres/emotion_disapproval_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.005612857048,0.05935870139,0.053745844342,0,0.07,0.07,0.767797776314
analysis/moving_averages/figures/all_genres/emotion_disapproval_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.005612857048,0.05935870139,0.053745844342,0,1,1,0.053745844342
analysis/moving_averages/figures/all_genres/emotion_disgust.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.001975867085,0.01655251331,0.014576646225,0,0.02,0.02,0.72883231125
analysis/moving_averages/figures/all_genres/emotion_disgust_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.001975867085,0.01655251331,0.014576646225,0,1,1,0.014576646225
analysis/moving_averages/figures/all_genres/emotion_disgust_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.001975867085,0.01655251331,0.014576646225,0,0.02,0.02,0.72883231125
analysis/moving_averages/figures/all_genres/emotion_disgust_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.001975867085,0.01655251331,0.014576646225,0,1,1,0.014576646225
analysis/moving_averages/figures/all_genres/emotion_embarrassment.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.001055760471,0.01528821608,0.014232455609,0,0.02,0.02,0.71162278045
analysis/moving_averages/figures/all_genres/emotion_embarrassment_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.001055760471,0.01528821608,0.014232455609,0,1,1,0.014232455609
