model,label,aggregation,sample,n,min,max,mean,median,sd,q05,q25,q75,q95,zero,one,below_01,above_99
detoxify,threat,q90,core_180,180,1.551954665046651e-05,0.5534355640411377,0.009440795775222392,0.00025375260156579316,0.05257640940297711,3.071719393119565e-05,9.089716513699386e-05,0.0012804341386072338,0.02066767175216226,0,0,161,0
detoxify,sexual_explicit,mean,all_200,200,1.3729860256717075e-05,0.8855344653129578,0.03788596924009501,0.0013101130607537925,0.11605714873360556,4.389528003230226e-05,0.00032437974005006254,0.007827376772183925,0.21639838935807346,0,0,151,0
detoxify,sexual_explicit,mean,core_180,180,1.3729860256717075e-05,0.44429581239819527,0.023248531585605397,0.0012702640378847718,0.06260224821276926,4.389528003230226e-05,0.000331770112097729,0.006857729749754071,0.1425510502362157,0,0,141,0
detoxify,sexual_explicit,token_weighted_mean,all_200,200,1.3729860256717075e-05,0.8855344653129578,0.03788390792875025,0.0013103028959177657,0.11605231848629564,4.389528003230226e-05,0.00032437974005006254,0.007827090286302464,0.21640129413771061,0,0,151,0
detoxify,sexual_explicit,token_weighted_mean,core_180,180,1.3729860256717075e-05,0.44429581239819527,0.023247815140274058,0.0012702640378847718,0.06259693114725703,4.389528003230226e-05,0.000331770112097729,0.006857729749754071,0.1425510502362157,0,0,141,0
detoxify,sexual_explicit,max,all_200,200,1.3729860256717075e-05,0.9110885262489319,0.05232137285473982,0.001438431499991566,0.1503721311217894,4.389528003230226e-05,0.000333221978507936,0.011142626637592912,0.29972108155488847,0,0,148,0
detoxify,sexual_explicit,max,core_180,180,1.3729860256717075e-05,0.846077561378479,0.034942945593451846,0.0014024070696905255,0.10369722516556769,4.389528003230226e-05,0.0003413919184822589,0.006953820586204529,0.21590199097990984,0,0,138,0
detoxify,sexual_explicit,q90,all_200,200,1.3729860256717075e-05,0.9065358281135559,0.04938749100496989,0.0013948342530056834,0.14294927840666452,4.389528003230226e-05,0.00033117824932560325,0.010908818710595368,0.2698330717242778,0,0,148,0
detoxify,sexual_explicit,q90,core_180,180,1.3729860256717075e-05,0.7657212115824222,0.03251931397534463,0.0013596212957054377,0.09504586654874689,4.389528003230226e-05,0.0003413919184822589,0.006857729749754071,0.2051090686768293,0,0,138,0
emotion,admiration,mean,all_200,200,0.000515835708938539,0.7779138684272766,0.02918609636724189,0.003983529866673052,0.09337541856475423,0.0008953212178312242,0.0015834825317142531,0.011514816200360656,0.10427132026525193,0,0,141,0
emotion,admiration,mean,core_180,180,0.000515835708938539,0.7779138684272766,0.02521312669446666,0.0036915799137204885,0.07982171824728088,0.0008667596994200721,0.0015533443656750023,0.011514816200360656,0.09936901101609684,0,0,126,0
emotion,admiration,token_weighted_mean,all_200,200,0.000515835708938539,0.7779138684272766,0.0291888410044813,0.003983529866673052,0.09338598080946005,0.0008953212178312242,0.0015830942934105217,0.011514816200360656,0.10427132026525193,0,0,141,0
emotion,admiration,token_weighted_mean,core_180,180,0.000515835708938539,0.7779138684272766,0.025216217703894355,0.0036915799137204885,0.07983559816357383,0.0008667596994200721,0.0015534069918625984,0.011514816200360656,0.09936901101609684,0,0,126,0
emotion,admiration,max,all_200,200,0.000515835708938539,0.7779138684272766,0.03374201706697932,0.004198380513116717,0.10565378066294899,0.0009540649480186404,0.0017258390435017645,0.013667792780324817,0.12038608752190914,0,0,133,0
emotion,admiration,max,core_180,180,0.000515835708938539,0.7779138684272766,0.029486949506746088,0.003983529866673052,0.0915744351134567,0.0008953212178312242,0.0016711001517251134,0.013325285399332643,0.11105032525956622,0,0,119,0
emotion,admiration,q90,all_200,200,0.000515835708938539,0.7779138684272766,0.03278222911644844,0.004190067626768723,0.10291377154985973,0.0009540649480186404,0.0016851326217874885,0.013667792780324817,0.11936951539246247,0,0,135,0
emotion,admiration,q90,core_180,180,0.000515835708938539,0.7779138684272766,0.028578372278231352,0.003983529866673052,0.08889713157778244,0.0008953212178312242,0.0016047949611674994,0.013325285399332643,0.10116267155855868,0,0,121,0
emotion,amusement,mean,all_200,200,0.0004457161121536046,0.6108011156320572,0.014742801958685353,0.002168470062315464,0.05776899766320019,0.0007583403639728203,0.0012637005129363388,0.0051080356643069535,0.049896357487887094,0,0,168,0
emotion,amusement,mean,core_180,180,0.0004457161121536046,0.35244855284690857,0.010609572012402134,0.002094903029501438,0.03712584215767477,0.000752249697688967,0.0012637005129363388,0.004572448320686817,0.038687331113032984,0,0,153,0
emotion,amusement,token_weighted_mean,all_200,200,0.0004457161121536046,0.6105807476418473,0.014742560385100327,0.002168470062315464,0.05776158058707353,0.0007583403639728203,0.0012637005129363388,0.0051080356643069535,0.049896357487887094,0,0,168,0
emotion,amusement,token_weighted_mean,core_180,180,0.0004457161121536046,0.35244855284690857,0.010609770920398783,0.002094903029501438,0.03712599309046581,0.000752249697688967,0.0012637005129363388,0.004572448320686817,0.038689164089177344,0,0,153,0
emotion,amusement,max,all_200,200,0.0004457161121536046,0.8084712028503418,0.020667875468352578,0.002302489592693746,0.08521316146106352,0.0007804212422342971,0.0012788513558916748,0.00583330902736634,0.0625372169539331,0,0,163,0
emotion,amusement,max,core_180,180,0.0004457161121536046,0.5873647332191467,0.014095665223269153,0.0022395733976736665,0.05674267296947623,0.0007597652729600668,0.0012788513558916748,0.005147971445694566,0.039349319227039575,0,0,150,0
emotion,amusement,q90,all_200,200,0.0004457161121536046,0.7689371854066849,0.019266052828956163,0.0022482241212856023,0.07802449514283952,0.000761746781936381,0.0012695645826170223,0.00571007882244885,0.05987664743792259,0,0,166,0
emotion,amusement,q90,core_180,180,0.0004457161121536046,0.4711175150237978,0.01315849513491331,0.00221941398922354,0.05005223374776058,0.0007597652729600668,0.0012695645826170223,0.005145575932692737,0.039349319227039575,0,0,152,0
emotion,anger,mean,all_200,200,0.0005953662330284715,0.45302124321460724,0.028006966740552645,0.005289752967655659,0.06945437885808312,0.0012054445319032918,0.002568428695667535,0.014022971736267209,0.13880117461085242,0,0,132,0
