family,model_a,label_a,model_b,label_b,selection,song_id,title,artist,score_a,score_b,percentile_a,percentile_b,absolute_percentile_gap
violence,detoxify,threat,bart,violence,a_ranks_lower,song_120331d2247754424d30484b3670c2d5c1ce827e7072814177b00993de5c5d32,Sunshine In The Shade,The Fixx,3.290610766271129e-05,0.6013899882399009,0.07035175879396985,0.678391959798995,0.6080402010050252
violence,detoxify,threat,bart,violence,a_ranks_higher,song_d86e59f3a47090f8d0e393978a66012120bcd864bc0d5e43c29e36afd84f6bd6,Everything To Me,Monica,0.01230994239449501,0.11248642436288962,0.9296482412060302,0.15577889447236182,0.7738693467336684
violence,detoxify,threat,bart,violence,a_ranks_higher,song_e850a0ebd5865cbcde0d7358f03fb5b1793e1d046b07f23d6f6f42c012be6355,Cry Just A Little,Paul Davis,0.5534355640411377,0.11213362887467264,1.0,0.1457286432160804,0.8542713567839196
violence,detoxify,threat,bart,violence,both_high,song_69823ed1beab1c15adab303458294de6aa805b844e4d9bc1cb759b53d8e1d0b8,Murder On My Mind,YNW Melly,0.032310463666546975,0.988086880970984,0.9748743718592965,0.9698492462311558,0.005025125628140725
violence,detoxify,threat,bart,violence,both_high,song_5194b6c0df56b87df950120af2c8399eb039c29f29878b87ff284b768eb9ab5a,I Don't Like,Chief Keef Featuring Lil Reese,0.027733387735982735,0.9870600403837495,0.964824120603015,0.964824120603015,0.0
violence,detoxify,threat,bart,violence,both_low,song_f41a534741f51cde1d600b6ee480a6cec27c432d48b34b9d946bd8331f5d2a74,Rainbow Connection,Kermit (Jim Henson),1.7734693756210618e-05,0.04978615848524392,0.010050251256281407,0.03015075376884422,0.02010050251256281
violence,detoxify,threat,bart,violence,both_low,song_21c7c8f7417b94a8c111b2a1c7570396b0e49f3c9f7cbbdd593d6d1c03d738d9,You Are The Sunshine Of My Life,Stevie Wonder,2.807491364364978e-05,0.05608319728311869,0.035175879396984924,0.035175879396984924,0.0
explicit_language,lyriclens,explicit_language,detoxify,obscene,a_ranks_lower,song_bf360f56da3572e8620b9132cd3751862eec7362dcce1703b91d8655dd4c76b3,To Die For,Sam Smith,0.0012931228848174214,0.021903933957219124,0.035175879396984924,0.6984924623115578,0.6633165829145728
explicit_language,lyriclens,explicit_language,detoxify,obscene,a_ranks_lower,song_2d1e136f70b14cbd83c69d01eb86a415f2edaab314e912aa55ae921ce76f9873,2U,David Guetta Featuring Justin Bieber,0.0038470143917948008,0.1791931539773941,0.18592964824120603,0.8442211055276382,0.6582914572864321
explicit_language,lyriclens,explicit_language,detoxify,obscene,a_ranks_higher,song_d92c03539e450a03b3a9eb1ff232dcc47d451ed2498faa25e75f78acef87bd6a,(You Don't Have To) Paint Me A Picture,Gary Lewis And The Playboys,0.9167596101760864,0.00045927547034807503,0.7939698492462312,0.21608040201005024,0.5778894472361809
explicit_language,lyriclens,explicit_language,detoxify,obscene,a_ranks_higher,song_4db06392bfcf969f7324a5b9dc24bde01061fbef474f64154ea5b116a503c454,Teacher Teacher,38 Special,0.26486143469810486,0.00021223857766017318,0.6934673366834171,0.10050251256281408,0.592964824120603
explicit_language,lyriclens,explicit_language,detoxify,obscene,both_high,song_df65c35504bb4ab737bbde1916d9226388671296143f32de56be3bcd942836de,Shut It Down,Pitbull Featuring Akon,0.9984914064407349,0.9421453475952148,0.9849246231155779,0.9748743718592965,0.01005025125628145
explicit_language,lyriclens,explicit_language,detoxify,obscene,both_high,song_e974a41fe0c5464980062ef5bfe8c01e1fb90ce11c92a2aa9e4e4dc84512c6aa,iPHONE,DaBaby & Nicki Minaj,0.9982144832611084,0.9402509133021036,0.9748743718592965,0.9698492462311558,0.005025125628140725
explicit_language,lyriclens,explicit_language,detoxify,obscene,both_low,song_998bc37c190dff49fde971e79accf4badc8b6cfaf976b48a0ee35395bfbd062d,Hot Fun In The Summertime,Dayton,0.0011998198460787535,0.00012819840412703343,0.02512562814070352,0.06532663316582915,0.040201005025125636
explicit_language,lyriclens,explicit_language,detoxify,obscene,both_low,song_f41a534741f51cde1d600b6ee480a6cec27c432d48b34b9d946bd8331f5d2a74,Rainbow Connection,Kermit (Jim Henson),0.001957823522388935,6.33265299256891e-05,0.07537688442211055,0.03015075376884422,0.045226130653266326
explicit_language,lyriclens,explicit_language,bart,profanity,a_ranks_lower,song_41cdcd17020b65b4e4437210a8c492aaa7bdc0500b9ef269cc7168648a893175,River Deep - Mountain High,The Supremes & Four Tops,0.0011666746577247977,0.875619067925321,0.010050251256281407,0.7035175879396985,0.6934673366834171
explicit_language,lyriclens,explicit_language,bart,profanity,a_ranks_lower,song_ce55a9b58d73f0eaccd32f2d0b15687e9ff76c2ac47b5977a2c0507e07f966cc,He's A Liar,Bee Gees,0.0019396288553252816,0.9029105351184417,0.07035175879396985,0.7537688442211056,0.6834170854271358
explicit_language,lyriclens,explicit_language,bart,profanity,a_ranks_higher,song_2a783aa21125846631c321e170948f1689071a051714cf6e57c7cfb4ba6c8b89,Let's Get It On,Marvin Gaye,0.619537353515625,0.4521375606224971,0.7487437185929648,0.05527638190954774,0.6934673366834171
explicit_language,lyriclens,explicit_language,bart,profanity,a_ranks_higher,song_b5dba8821898b6e121e493b47cf4d536d7a7c5d16bcc38aaedc2b4899288889d,New Rules,Dua Lipa,0.6849333643913269,0.0801860076903876,0.7587939698492462,0.0,0.7587939698492462
explicit_language,lyriclens,explicit_language,bart,profanity,both_high,song_3be80d6898e6d7126085bef1a2e577252c3acb8d6fb29059cd60aa374c032093,Flava In Ya Ear,Craig Mack,0.9996194839477539,0.9967411814312804,1.0,1.0,0.0
explicit_language,lyriclens,explicit_language,bart,profanity,both_high,song_1d68186326e359b9669b2f7c11d69a9643793fb708e6fe1003c21e5c3aa6232a,Crushed Up,Future,0.9995755553245544,0.9894696991405812,0.9949748743718593,0.9597989949748744,0.035175879396984855
explicit_language,lyriclens,explicit_language,bart,profanity,both_low,song_a22606f73b2eb26912bcd4c63b31ac5c72f573b98d06a74097ac6988b8a4761a,God Must Have Spent A Little More Time On You,Alabama Featuring 'N Sync,0.0013225411530584097,0.44300956668345337,0.04020100502512563,0.05025125628140704,0.010050251256281409
explicit_language,lyriclens,explicit_language,bart,profanity,both_low,song_bf360f56da3572e8620b9132cd3751862eec7362dcce1703b91d8655dd4c76b3,To Die For,Sam Smith,0.0012931228848174214,0.48344311695383796,0.035175879396984924,0.10050251256281408,0.06532663316582915
explicit_language,detoxify,obscene,bart,profanity,a_ranks_lower,song_fd806b3821bf03e97e417fa26b068546358a5dc336dc9669759f406326f62c9d,You Can't Take The Honky Tonk Out Of The Girl,Brooks & Dunn,0.00037643470568582416,0.9283718273262652,0.18592964824120603,0.7889447236180904,0.6030150753768844
explicit_language,detoxify,obscene,bart,profanity,a_ranks_lower,song_9277254377f0ed6ea2c94d6f5d17ee81782d30bd4f80f6185a6d4d87c99850f7,Hold On,Ian Gomm,3.381581700523384e-05,0.8260535846289682,0.005025125628140704,0.6030150753768844,0.5979899497487436
explicit_language,detoxify,obscene,bart,profanity,a_ranks_higher,song_2a152a848f4917084d006e080ecbb3c882aeafefc1a851978231c794e8f12e5a,Read Your Mind,Avant,0.05399732881768423,0.48050406072874347,0.7839195979899497,0.09547738693467336,0.6884422110552764
explicit_language,detoxify,obscene,bart,profanity,a_ranks_higher,song_b5dba8821898b6e121e493b47cf4d536d7a7c5d16bcc38aaedc2b4899288889d,New Rules,Dua Lipa,0.024737242823814256,0.0801860076903876,0.7035175879396985,0.0,0.7035175879396985
explicit_language,detoxify,obscene,bart,profanity,both_high,song_97dde8742e0cc2461773a6d71873bf7831160cc7b3b82fcb096f1022b4c12759,WAP,Cardi B Featuring Megan Thee Stallion,0.979826013247172,0.995628565056946,1.0,0.9899497487437185,0.01005025125628145
explicit_language,detoxify,obscene,bart,profanity,both_high,song_e2c1ed4ba63771b7e206087975fadfe2d4942fdc015891840947f04e2959c89b,Need It,Migos Featuring YoungBoy Never Broke Again,0.9237858255704244,0.9923572978657769,0.9597989949748744,0.9798994974874372,0.02010050251256279
explicit_language,detoxify,obscene,bart,profanity,both_low,song_b10199f4fcf60c75729c81ed97259c8e6aa9673cdcb93acdc6f4171e7cf8d945,What A Wonderful World,Louis Armstrong,7.554507465101779e-05,0.2972323130021308,0.04522613065326633,0.01507537688442211,0.030150753768844223
explicit_language,detoxify,obscene,bart,profanity,both_low,song_6dc4b05872cf526300be88208f4fd48cdc16f207b865ca7c05fd42fcada13675,Cindy's Birthday,Johnny Crawford,8.708363020559773e-05,0.16357855470477,0.05025125628140704,0.005025125628140704,0.04522613065326633
substance,lyriclens,substance,bart,drugs,a_ranks_lower,song_f4185aea5cd17f1abea03ccb1fa6b853bc8cc48352e792e4aa84bd5673669c5e,The Itch,Vitamin C,0.0010773357935249805,0.9358555449127992,0.06532663316582915,0.9195979899497487,0.8542713567839195
substance,lyriclens,substance,bart,drugs,a_ranks_lower,song_10f21a7ac2fc5e27711d31d4a39dd3e60c793cda1e918d41a79a3b7b83519df3,Not Nice,PARTYNEXTDOOR,0.0003945846692658961,0.6936378686653067,0.0,0.678391959798995,0.678391959798995
substance,lyriclens,substance,bart,drugs,a_ranks_higher,song_9d821af9a1e2446b36ca98875f174e35acda58d417c5ae54ee1782d1b5ca2245,Bless You,Martha Reeves & The Vandellas,0.9367891550064087,0.20336516055886125,0.8140703517587939,0.09547738693467336,0.7185929648241206
substance,lyriclens,substance,bart,drugs,a_ranks_higher,song_b5dba8821898b6e121e493b47cf4d536d7a7c5d16bcc38aaedc2b4899288889d,New Rules,Dua Lipa,0.9991021156311035,0.04255396583230131,0.9949748743718593,0.005025125628140704,0.9899497487437185
substance,lyriclens,substance,bart,drugs,both_high,song_c0eeb4729f1ae33d58424899c3c15392241f8e296e88cad503bcb8fe60060eed,Never Hating,Lil Baby & Young Thug,0.9972188472747803,0.9860516860211388,0.9597989949748744,0.9748743718592965,0.015075376884422065
substance,lyriclens,substance,bart,drugs,both_high,song_c3db28de2fa21737c828f45aa697bf98c14ad08a22646c2f0114dd15614a1503,Your Own Back Yard,Dion,0.9976673126220703,0.9651640237162259,0.964824120603015,0.9547738693467337,0.01005025125628134
substance,lyriclens,substance,bart,drugs,both_low,song_815056a3d0f74d832a9989d4bcb3e56697b29dd14bd3aaa012fb8c5b6ffde806,I Wrote A Simple Song,Billy Preston,0.0014702456537634134,0.1255350453120522,0.11055276381909548,0.04020100502512563,0.07035175879396985
substance,lyriclens,substance,bart,drugs,both_low,song_64d37feb1fa3da190b5b48cdf28bee0181308224ba28cffb740e5048b0ab4306,Travelin' Prayer,Billy Joel,0.0012962698237970471,0.23974905922993525,0.07537688442211055,0.12562814070351758,0.05025125628140703
substance,lyriclens,substance,bart,alcohol,a_ranks_lower,song_be18506dff183b6a8ee7e34e0063fde1d8f047a431bce1ad15210cd247070d71,No Scrubs,TLC,0.00231275730766356,0.9450110773725355,0.19095477386934673,0.9396984924623115,0.7487437185929648
substance,lyriclens,substance,bart,alcohol,a_ranks_lower,song_be496be8f147804f19e5da1c133d50508585f40e981a49067a86443a2c7dc9a8,Free Yourself,Fantasia,0.0014607689809054136,0.8674406179630813,0.10552763819095477,0.7939698492462312,0.6884422110552764
substance,lyriclens,substance,bart,alcohol,a_ranks_higher,song_490e143d0fd6a02b0ba3c323afbcb0dce7212b54f94f8761250dc778ada4125c,Welcome To Tha Carter,Lil Wayne,0.9882623553276062,0.28953115433922405,0.8542713567839196,0.08040201005025126,0.7738693467336684
substance,lyriclens,substance,bart,alcohol,a_ranks_higher,song_b5dba8821898b6e121e493b47cf4d536d7a7c5d16bcc38aaedc2b4899288889d,New Rules,Dua Lipa,0.9991021156311035,0.09587513543461669,0.9949748743718593,0.0,0.9949748743718593
substance,lyriclens,substance,bart,alcohol,both_high,song_fcece81d4ce48c45670077783d519702d20ce3c27d5489f2eeba0f033d95faaa,Be Her,Ella Langley,0.9985557198524475,0.9786633719162946,0.9849246231155779,0.9748743718592965,0.01005025125628145
substance,lyriclens,substance,bart,alcohol,both_high,song_c0eeb4729f1ae33d58424899c3c15392241f8e296e88cad503bcb8fe60060eed,Never Hating,Lil Baby & Young Thug,0.9972188472747803,0.9709981479856878,0.9597989949748744,0.964824120603015,0.005025125628140614
substance,lyriclens,substance,bart,alcohol,both_low,song_815056a3d0f74d832a9989d4bcb3e56697b29dd14bd3aaa012fb8c5b6ffde806,I Wrote A Simple Song,Billy Preston,0.0014702456537634134,0.20771566064238906,0.11055276381909548,0.02512562814070352,0.08542713567839197
substance,lyriclens,substance,bart,alcohol,both_low,song_59328e4ef495b0a2eead2600eb40694f1921b10840b1f242e3580ce8c59f8a86,The Jolly Green Giant,The Kingsmen,0.0018952848622575402,0.2974830343133855,0.1407035175879397,0.09547738693467336,0.04522613065326633
hostility,detoxify,toxicity,emotion,anger,a_ranks_lower,song_b32a265f2ff03acfa08f045465ca51a6fb31e221f2824a03ef7c5889cee866af,There's Nothing I Can Say,Rick Nelson,0.002188611775636673,0.014428718015551567,0.1306532663316583,0.7537688442211056,0.6231155778894473
hostility,detoxify,toxicity,emotion,anger,a_ranks_lower,song_d92c03539e450a03b3a9eb1ff232dcc47d451ed2498faa25e75f78acef87bd6a,(You Don't Have To) Paint Me A Picture,Gary Lewis And The Playboys,0.008813699707388878,0.0708988606929779,0.3417085427135678,0.9045226130653267,0.5628140703517588
hostility,detoxify,toxicity,emotion,anger,a_ranks_higher,song_c3db28de2fa21737c828f45aa697bf98c14ad08a22646c2f0114dd15614a1503,Your Own Back Yard,Dion,0.25704246759414673,0.0018756301142275333,0.7437185929648241,0.1407035175879397,0.6030150753768844
hostility,detoxify,toxicity,emotion,anger,a_ranks_higher,song_c4eabeecb02281b19acf05dac0942d25da1b7cae44fc83479a18c5a5594546ab,"Go, Jimmy, Go",Jimmy Clanton,0.1918158084154129,0.0014461349928751588,0.7035175879396985,0.08542713567839195,0.6180904522613065
hostility,detoxify,toxicity,emotion,anger,both_high,song_5194b6c0df56b87df950120af2c8399eb039c29f29878b87ff284b768eb9ab5a,I Don't Like,Chief Keef Featuring Lil Reese,0.9952962398529053,0.4463259776433309,1.0,0.9949748743718593,0.005025125628140725
hostility,detoxify,toxicity,emotion,anger,both_high,song_e974a41fe0c5464980062ef5bfe8c01e1fb90ce11c92a2aa9e4e4dc84512c6aa,iPHONE,DaBaby & Nicki Minaj,0.9774098793665568,0.29791367799043655,0.9748743718592965,0.9849246231155779,0.01005025125628145
hostility,detoxify,toxicity,emotion,anger,both_low,song_e1a7f29430e196c1d83a8f58a4a17f41d5c2fadde8c3cf34dee5280016e53eda,State Of the Heart,Rick Springfield,0.0007281614234670997,0.0008743193466216326,0.02512562814070352,0.010050251256281407,0.015075376884422112
