change,song_id,title,artist,archived_musicbrainz_pilot_status
added,song_0bb029b835371e1c61f47827b32e3f70ee06383ef07939445030251fcd77929f,You're Following Me,Perry Como,
added,song_0bd0355952e697aa905debeceece50502b8a71f4f9ea08d9f1a8b99861c5bbc1,Scotch And Soda,The Kingston Trio,
added,song_0c06cc4febb0fbe508e6098820e08b38e06d7aadf9c1dd58b3a3065f738a0aa8,Stressed,Young Thug With J. Cole & T-Shyne,
added,song_0c07e8243f86a6a07b188e4bbdd5cb20d2dc19f1d01238071067a6a3cbf186c4,It's So Hard For Me To Say Good-Bye,Eddie Kendricks,
added,song_0c0e7498ddf209dcca73c281f98b0759fa174cefd410d993aa4d148652414f2b,My Story,R. Kelly Featuring 2 Chainz,
added,song_0c1df21a5e0a1d3647034d61691785628e0a16c08d2b6db543137d28b85d9adb,Bad For You,Meek Mill Featuring Nicki Minaj,
added,song_0c2474216cce8fb782bb162615db151444cba87728956663c1ff00ea02c3c28b,Come Live With Me,Roy Clark,
added,song_0c31fcc7b30eba27d00c669fee1ab9b3f03cd538acbcc5fa580c90614124c6b8,The Wreckoning,Boomkat,
added,song_0c3e5a0a22729f447549e886e06db91954614ccfc845aa34004fbe9a07538f7b,Still Got The Blues,Gary Moore,
added,song_0c4b86f57152ca834144dae3aa95cd9f731e3f547bf19aa3da23bb18d5704b9f,Chains Of Love,Charli xcx,
added,song_0c4c4a65f56ed02fca61548373a9adf96508dcf17ad92671addab0f2376d7247,Butt Naked,Charm,
added,song_0c53eb105e54fe5497b3fc0066663de2d9d7dca80eebd7a08453c1fe127518f3,Loverboy,Karen Kamon,
added,song_0c5d1ba0d92f9b1842710b388fb6e2de8f1e39c7c0126f6e6fb0092292107f7a,So Much Love,Ben E. King,
added,song_0c62fef6af87e3a30f6dd24446703540c2deb9c325d00812c5ad1892786370c5,You Can't Take It Away,Fred Hughes,
added,song_0c6cda11465c1f865c51620b51f64ebff31d6f772b4d2f548f3f0db1309af497,You're The Reason,Joe South,
added,song_0c6e6b5155f9269d01b42895e7f97ede4658591e584091fd3674b7ac546fba27,Made Me,Snootie Wild Featuring K Camp,
added,song_0c6fe7f61994e4439e2bdc9a386c8a7112871f122ccf2b5e9d8b5c6ed2a6511c,What's Your Mama's Name,Tanya Tucker,
added,song_0c886481990963257e89e7558213e93df5ed2c67061a7409f8ee3c6ac2ac502b,Seen It All,Jeezy Featuring Jay Z,
added,song_0c8a3f06ac2a8793ced82000015ca00d7e45c4a8ea05c548dc5d6fc31d579f9b,Indifferent,Megan Moroney,
added,song_0cabeeb4dbab994cc29ca21d26cb8c90e29786b94403c9946364fb0bd6e870b2,"Mercy, Mercy, Mercy",Larry Williams & Johnny Watson,
added,song_0cc8c22950950547241850fdbc653a58dcd68e30ceed5969312ec8f9c9d23601,Ain't That Peculiar,Fanny,
added,song_0ccef2823647cfd2a636f46641cfe6bfd3a3c8d9c25edda2ab067ddbee64ad72,No Me Quiero Casar,Bad Bunny,
added,song_0ccfc0b9e68fb689e79935edc428d022880c7daee8e10a3827761e255607b42e,Tell Laura I Love Her,Johnny T. Angel,
added,song_0ce8f83c184b5d7434ce0ecfaa39f4d24191726900d72b5dbbc410bebf1dd262,Don't Say You Love Me,Jin,high_confidence
added,song_0cf3445599e88bacb41535429c1bbb9611c6120e1d51c376073e68a95efc2150,My Cherie,Al Martino,
added,song_0cf36e9c99e2d99ac5be91f553a8cd98202a58e5a29d5019056b3be30a13746b,"Mr. Walker, It's All Over",Billie Jo Spears,
added,song_0d190a2b7bb58b8123b2fb88e4fe8399e443d8f210a584954c8f84b9ad2a9798,Percolatin',Willie Mitchell,
added,song_0d394df5d97216affde06013e88de4f6079c1a72dd61b44b06a9f2c276ad8a86,(Love Me) Love The Life I Lead,The Fantastics,
added,song_0d3f06838471dbcd5e972558179bffc57d655ca671c972c907156321cdcd2cbd,Giving Up,Donny Hathaway,
added,song_0d3fb31c966087ac2c4c76122e4963971efe299afce1d8a9b9f3b88c9a148584,No Not Much,The Smoke Ring,
added,song_0d4c6a52ec863d2cf522f63acb310a89a374bd1223e52cb1d414b578b6d7915f,His & Hers,"Internet Money, Don Toliver & Lil Uzi Vert Featuring Gunna",
added,song_0d4d8e5c844a0898adbe168f3d0cfee0e81258151529d96e9f37b92be3d9dd3f,Let's Have A Party,The Rivieras,
added,song_0d4fad27cf564847ae0a48787cc9156414f186f101383985b25efd7a512c0bc4,Hurt,The Manhattans,
added,song_0d7bd8fa4b02a7bf5d30824ba8af76feeb0f887ca9e3694ccfca3b56a243d32c,Jump On It,Sir Mix-A-Lot,
added,song_0d8c990885c96bbf8c0df5b2f571ee2eba63808bdedcac311c741a47f90d3f63,Battle Of Gettysburg,Fred Darian,
added,song_0d8d2f03020e6e41a62750271f8af8c4eba00c1aaf07dd14dfdc45df8760b2f1,Bodyheat (Part 1),James Brown,
added,song_0da07bf997dd83f8528c9a36fc405eca0c44888b5d80556c261ec3f098389dcd,Ashes And Sand,Johnny Rivers,
added,song_0dada7e5e9e0df59c4d290a30d30b0672e6339b240f0430fd02f13ad178d8160,Mother,Barbra Streisand,
added,song_0dc5bbf77e3d0e28735823afcb764cc1c27c9592cf8f8e6fe991df19ef26b31a,Goldfinger,Jack Laforge His Piano and Orchestra,
added,song_0dc9f5cec236c5d40f1b70d9899ba71ea4511f6ace077bbdb8e5aea0bd19ac86,Music In My Bones,Joe Simon,
added,song_0dcdf025239a4dfeb1e18e407f9363c458f91ce90005b17c8dbffa1dccff37ac,Music Eyes,Heartsfield,
added,song_0dd05e55e25f5267b8aa36ab449a62a7f4de09948411dc84ba12d409f7cb0485,Come Into My Life,Jimmy Cliff,
added,song_0de05d5453daa0be370aa6afb7045ecffae6d81425b28eb39007b45420a924ba,Just For You,Lionel Richie,
added,song_0df5de478ad5e73e7bb9222315ce45fad2856de6fe3bc4f5f3f55cd2a7a3777e,True Love,Richard Chamberlain,
added,song_0e1012482739c1681cb3fe0a1622d1eaa25f980a2744faa75f23471c48a76b04,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,
added,song_0e16a11812807f84a1daeac488a97918efa10d6fbb5e2819b854d518c4b3827b,Need Me,J.I The Prince Of N.Y,
added,song_0e1f1d7ff579045757276a602e38eaafbf69dddb4da617686b000815c8c80117,Le Jazz Hot,Glee Cast,
added,song_0e2b4608d773a0cf6f08a9274bb255130d2f612cf0bcae83667d55131aadbe46,One In A Million,Eddie & The Tide,
added,song_0e349221fa3c75ee82076a19c8a97c71ca37ecceb0b8a126e75166e32b5d34ee,Nobody Else But You,Trey Songz,
added,song_0e379b569e0d62e7775b1f7451183181f748af3ff2891bffdf2a378d47138ca0,Beauty In The Benz,Tory Lanez Featuring Snoop Dogg,
added,song_0e3dd5e5faa9f9c71f8e1d24c4b3bcf79086bedf7af3b41b5f738a90cd2b6ced,Sometimes I Wish I Were A Boy,Lesley Gore,
