primary_genre,classifier,paired_rolling_endpoints,mean_absolute_difference,max_absolute_difference,mean_signed_difference,equal_weight_endpoint_change,rank_weighted_endpoint_change
Electronic / Dance,emotion_admiration,92,0.001615337755,0.01241671018,-0.0004078505234,-0.001047996129,-0.001038503101
Electronic / Dance,emotion_amusement,92,0.002381337064,0.03284578507,9.800970217e-05,-0.01293437625,-0.009691579077
Electronic / Dance,emotion_anger,92,0.001622504144,0.005187029232,3.352008613e-05,-0.00254204558,-0.002250840818
Electronic / Dance,emotion_annoyance,92,0.002442417121,0.01004436774,-0.001878323758,0.001866401401,0.001122315121
Electronic / Dance,emotion_approval,92,0.003504253144,0.01026716625,-0.001150500691,-0.01623810828,-0.02766744308
Electronic / Dance,emotion_caring,92,0.00565040213,0.05067557482,0.002016575608,0.01691581319,0.008273811486
Electronic / Dance,emotion_confusion,92,0.003370602873,0.02556985513,0.001271994414,0.005791765219,0.007023538748
Electronic / Dance,emotion_curiosity,92,0.005414728968,0.02422984028,0.002592166456,0.03584202725,0.04277165092
Electronic / Dance,emotion_desire,92,0.008046261385,0.01594209131,0.004627116837,0.06792187758,0.06746835035
Electronic / Dance,emotion_disappointment,92,0.005007262084,0.01292228445,0.001741916113,0.005449647634,0.009834759381
Electronic / Dance,emotion_disapproval,92,0.002659186154,0.01119590547,0.001016047028,-0.002182926035,-0.0005760767452
Electronic / Dance,emotion_disgust,92,0.0002220950097,0.0007573305787,1.115126298e-05,-0.0009860118314,-0.0006293688531
Electronic / Dance,emotion_embarrassment,92,0.0002986054057,0.001184508062,-5.683503589e-05,-0.004021948852,-0.004161996808
Electronic / Dance,emotion_excitement,92,0.001619877539,0.008339026657,0.001224767186,-0.05232191844,-0.05407986797
Electronic / Dance,emotion_fear,92,0.003294780329,0.01425440233,-0.0007715534104,0.0008516228929,0.001185580454
Electronic / Dance,emotion_gratitude,92,0.0008425108964,0.009448603252,0.0001549421539,0.01038044143,0.01227516029
Electronic / Dance,emotion_grief,92,0.000227343493,0.001639004659,9.608868529e-05,0.0009131403106,0.0009580199698
Electronic / Dance,emotion_joy,92,0.002828958294,0.01044382976,0.002412099383,-0.04572179862,-0.04958088338
Electronic / Dance,emotion_love,92,0.01844304781,0.0514197681,0.004740509435,-0.1054520041,-0.1309827365
Electronic / Dance,emotion_nervousness,92,0.001359513247,0.009095554429,0.0004151228052,9.202316837e-05,-3.551853446e-05
Electronic / Dance,emotion_neutral,92,0.0149705716,0.05029372138,-0.01053438472,-0.01007942758,0.01365450971
Electronic / Dance,emotion_optimism,92,0.001426092531,0.006032479206,0.0004736119367,0.02281644451,0.02276394481
Electronic / Dance,emotion_pride,92,0.0001045391186,0.0004111726061,8.628750504e-06,-0.0001535117922,-9.187383606e-05
Electronic / Dance,emotion_realization,92,0.004073774426,0.01857970241,-0.002916212621,0.003023511568,0.001923048677
Electronic / Dance,emotion_relief,92,0.000144142601,0.0004540633751,5.518561e-05,0.0004885055933,0.0005200967355
Electronic / Dance,emotion_remorse,92,0.00156604689,0.007944009585,-0.0008744002402,0.003389779737,0.001283134226
Electronic / Dance,emotion_sadness,92,0.008783990771,0.05202361144,0.003540018108,0.03433764578,0.03424029925
Electronic / Dance,emotion_surprise,92,0.000752434388,0.004060549632,-0.0002023437283,-0.01038941478,-0.008359606474
