primary_genre,classifier,possible_months,months_genre_absent,months_present_without_scores,months_below_minimum,months_below_minimum_pct,months_present_below_minimum,present_months_failure_pct,sufficient_months,valid_rolling_endpoints,individual_plot_generated
K-Pop,emotion_gratitude,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_grief,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_joy,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_love,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_nervousness,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_neutral,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_optimism,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_pride,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_realization,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_relief,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_remorse,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_sadness,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,emotion_surprise,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,ll_explicit_language,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,ll_sexual_content,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,ll_substance_use,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,ll_violence,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,sentiment_negative,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,sentiment_neutral,818,754,6,814,99.51100244,60,93.75,4,0,False
K-Pop,sentiment_positive,818,754,6,814,99.51100244,60,93.75,4,0,False
Latin,detox_identity_attack,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,detox_insult,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,detox_obscene,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,detox_severe_toxicity,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,detox_sexual_explicit,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,detox_threat,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,detox_toxicity,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_admiration,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_amusement,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_anger,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_annoyance,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_approval,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_caring,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_confusion,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_curiosity,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_desire,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_disappointment,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_disapproval,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_disgust,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_embarrassment,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_excitement,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_fear,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_gratitude,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_grief,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_joy,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_love,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_nervousness,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_neutral,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_optimism,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_pride,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_realization,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_relief,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_remorse,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_sadness,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,emotion_surprise,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,ll_explicit_language,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,ll_sexual_content,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,ll_substance_use,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,ll_violence,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,sentiment_negative,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,sentiment_neutral,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Latin,sentiment_positive,818,443,47,775,94.74327628,332,88.53333333,43,4,False
Metal,detox_identity_attack,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,detox_insult,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,detox_obscene,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,detox_severe_toxicity,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,detox_sexual_explicit,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,detox_threat,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,detox_toxicity,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_admiration,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_amusement,818,576,9,813,99.38875306,237,97.9338843,5,0,False
Metal,emotion_anger,818,576,9,813,99.38875306,237,97.9338843,5,0,False
