primary_genre,classifier,valid_rolling_endpoints,earliest_month,earliest_mean,earliest_window_n,earliest_min_monthly_n,latest_month,latest_mean,latest_window_n,latest_min_monthly_n,minimum_month,minimum_mean,minimum_window_n,minimum_min_monthly_n,maximum_month,maximum_mean,maximum_window_n,maximum_min_monthly_n,latest_minus_earliest,rolling_range
Alternative / Indie,emotion_gratitude,87,1983-08,0.0005365642133,69,5,2014-08,0.001180143367,89,5,2007-03,0.000370945953,117,6,2000-05,0.05849634646,98,5,0.0006435791533,0.0581254005
Alternative / Indie,emotion_grief,87,1983-08,0.003756700128,69,5,2014-08,0.002557464326,89,5,2000-05,0.001759018599,98,5,2013-04,0.004626436568,86,5,-0.001199235802,0.00286741797
Alternative / Indie,emotion_joy,87,1983-08,0.01666210538,69,5,2014-08,0.1065626235,89,5,2007-02,0.00955830877,110,5,2014-07,0.1077654338,90,6,0.08990051814,0.09820712502
Alternative / Indie,emotion_love,87,1983-08,0.1077761576,69,5,2014-08,0.07649487993,89,5,1998-06,0.00750251741,91,5,2003-03,0.1164228961,82,5,-0.03128127768,0.1089203787
Alternative / Indie,emotion_nervousness,87,1983-08,0.02643769435,69,5,2014-08,0.02074860134,89,5,2000-05,0.004973480974,98,5,1996-06,0.02954345468,131,7,-0.005689093007,0.02456997371
Alternative / Indie,emotion_neutral,87,1983-08,0.4867412093,69,5,2014-08,0.3168262333,89,5,2013-04,0.2787987432,86,5,1983-09,0.4895531535,71,5,-0.169914976,0.2107544103
Alternative / Indie,emotion_optimism,87,1983-08,0.01440990552,69,5,2014-08,0.01184749115,89,5,1994-09,0.009643731462,112,7,2003-02,0.06177930837,80,5,-0.002562414364,0.0521355769
Alternative / Indie,emotion_pride,87,1983-08,0.0009299569478,69,5,2014-08,0.002717290609,89,5,2007-03,0.0007044137108,117,6,2014-07,0.002810177979,90,6,0.001787333661,0.002105764268
Alternative / Indie,emotion_realization,87,1983-08,0.02789776555,69,5,2014-08,0.03529207536,89,5,1994-05,0.02239486363,92,5,2013-04,0.0882486675,86,5,0.007394309808,0.06585380388
Alternative / Indie,emotion_relief,87,1983-08,0.00229621377,69,5,2014-08,0.005061592316,89,5,1998-09,0.001546359989,81,5,2014-07,0.005134048913,90,6,0.002765378546,0.003587688924
Alternative / Indie,emotion_remorse,87,1983-08,0.004180188425,69,5,2014-08,0.005288944361,89,5,1995-02,0.002394919678,117,6,2013-04,0.01155451065,86,5,0.001108755935,0.009159590973
